delta	vr	E_perp_eV	u_c	u_c_wi	j_uA	krho	ratio	omega_r
0.1	0.0	0.0	0.10546875	18.077479123617977	16.46802263980148	1.5	0.05	1.1864670582159513
0.1	0.5	0.075	0.1064453125	18.2448631895774	16.62050433091075	1.5	0.05	1.1839627461646298
0.1	1.0	0.3	0.1083984375	18.579631321496255	16.925467713129297	1.5	0.05	1.1785313260327315
0.1	1.5	0.6749999999999999	0.111328125	19.08178351937453	17.382912786457116	1.5	0.05	1.1741692030485031
0.1	2.0	1.2	0.1123046875	19.249167585333957	17.53539447756639	1.5	0.05	1.1730596012586636
0.1	2.5	1.875	0.111328125	19.08178351937453	17.382912786457116	1.5	0.05	1.1742190986778773
0.3	0.0	0.0	0.10546875	18.077479123617977	16.46802263980148	1.5	0.05	1.1864670582159391
0.3	0.5	0.075	0.1083984375	18.579631321496255	16.925467713129297	1.5	0.05	1.17897378830759
0.3	1.0	0.3	0.12109375	20.755624178968787	18.907729697549843	1.25	0.05	1.154411505738645
0.3	1.5	0.6749999999999999	0.130859375	22.429464838563046	20.432546608642575	1.25	0.05	1.140298881474621
0.3	2.0	1.2	0.1376953125	23.601153300279023	21.499918446407488	1.75	0.035	1.1350802336943056
0.3	2.5	1.875	0.12890625	22.094696706644193	20.12758322642403	2.75	0.0001	3.9964037599899105
1.0	0.0	0.0	0.10546875	18.077479123617977	16.46802263980148	1.5	0.05	1.1864670582159362
1.0	0.5	0.075	0.12109375	20.755624178968787	18.907729697549843	1.25	0.05	1.1547043409023658
1.0	1.0	0.3	0.1669921875	28.622675279061795	26.07436917968568	1.0	0.05	1.1050097209437824
1.0	1.5	0.6749999999999999	0.0	0.0	0.0	2.0	0.005	0.990031667872544
1.0	2.0	1.2	0.0	0.0	0.0	2.0	0.005	2.0038802547894177
1.0	2.5	1.875	0.0	0.0	0.0	3.5	0.0001	0.5091085696600153
