vr	E_perp_eV	gamma	krho	ratio	omega_r	confirmed
0.0	0.0	4.8224529311967484e-14	2.25	0.0001	4.905266292171424	true
0.25	0.01875	1.7105704185879692e-14	2.25	0.0001	4.894320883400177	true
0.5	0.075	6.927220023449866e-14	2.0	0.0001	4.908842555727182	true
0.75	0.16874999999999998	6.479000847956757e-14	0.75	0.0001	2.947480403192664	true
1.0	0.3	5.249805068290395e-15	1.75	0.0001	4.8805369133205705	true
1.25	0.46875	3.887699103447229e-14	1.5	0.0001	4.903225638202485	true
1.5	0.6749999999999999	0.005543248941127638	2.0	0.005	0.990031667872544	true
1.75	0.91875	0.0197057455294516	1.5	0.005	0.9902175450416167	true
2.0	1.2	0.03788822235329059	2.0	0.005	2.0038802547894177	true
2.25	1.51875	0.057261418846511675	1.75	0.005	2.0194338731781265	true
2.5	1.875	0.19366344627870916	3.5	0.0001	0.5091085696600153	true
2.75	2.26875	0.2661780580346625	3.5	0.0001	0.53870165150328	true
3.0	2.6999999999999997	0.3738507380650806	2.0	0.005	4.060301609357238	true
3.25	3.1687499999999997	0.4889225894724113	2.0	0.005	4.249104755768529	true
3.5	3.675	0.44744494671943713	1.5	0.005	3.269745511947218	true
