# Case 4 (alpha ring-beam ICE) BO / PlasmaBO.jl reference
# solver: BOHH(N=10, J=8); B0=2.1 T, theta=89.5 deg
# freq normalized to proton gyrofrequency Omega_cp = e B0 / m_p
# k normalized to proton inertial length lambda_p = c/omega_pp (n = 1e19 m^-3)
# columns: k_lambdap	Re_omega	Im_omega  (dominant growing root per k; Im=0 where stable)
3.000	1.99900	0.000151
3.100	2.00134	0.000001
3.200	3.00226	0.000000
3.300	3.00277	0.000000
3.400	3.00331	0.000000
3.500	3.00385	0.000000
3.600	2.49538	0.005067
3.700	3.50248	0.000000
3.800	3.50298	0.000000
3.900	3.50350	0.000000
4.000	3.00398	0.000000
4.100	3.50442	0.000000
4.200	2.99674	0.000000
4.300	2.97643	0.021488
4.400	3.00946	0.039998
4.500	3.04251	0.022200
4.600	4.00456	0.000000
4.700	4.00485	0.000000
4.800	3.49631	0.000000
4.900	4.00482	0.000000
5.000	3.45209	0.016202
5.100	3.48517	0.055729
5.200	3.51827	0.060067
5.300	3.55152	0.041276
5.400	3.99571	0.000000
5.500	0.00000	0.000000
5.600	3.51395	0.000000
5.700	3.95899	0.000000
5.800	3.95701	0.058839
5.900	3.99037	0.075374
6.000	4.02378	0.073327
6.100	4.05743	0.049922
6.200	4.03611	0.000000
6.300	4.01932	0.000000
6.400	0.00000	0.000000
6.500	4.00546	0.000000
6.600	0.00000	0.000000
6.700	0.00000	0.000000
6.800	0.00000	0.000000
6.900	3.99481	0.000000
7.000	3.99418	0.000000
